company,salaries,interviews,review,jobs,benefits,location
JBM Group,14000.0,352.0,4800.0,63.0,342.0,Auto Components | Gurugram +118 other locations
Varun Beverages,11900.0,352.0,4800.0,62.0,321.0,Beverage | New Delhi +382 other locations
Eviden,27700.0,316.0,4800.0,1.0,1.0,IT Services & Consulting | Pune +39 other locations
Nagarro,32800.0,836.0,4700.0,334.0,1100.0,IT Services & Consulting | Gurugram +49 other locations
Bosch,21000.0,383.0,4600.0,0.0,599.0,Auto Components | Bengaluru +132 other locations
Randstad,16800.0,331.0,4600.0,6.0,342.0,Recruitment | Hyderabad +359 other locations
Utkarsh Small Finance Bank,11400.0,307.0,4600.0,24.0,270.0,Banking | Varanasi +410 other locations
EY Global Delivery Services ( EY GDS),50600.0,888.0,4600.0,9.0,264.0,IT Services & Consulting | Bengaluru +56 other locations
Hewlett Packard Enterprise,27300.0,268.0,4600.0,299.0,546.0,IT Services & Consulting | Bengaluru +104 other locations
Cars24,15500.0,409.0,4600.0,68.0,410.0,Internet | Gurugram +171 other locations
Aditya Birla Fashion and Retail,13000.0,268.0,4600.0,91.0,391.0,Fashion & Textile | Bengaluru +293 other locations
Home Credit Finance,9500.0,149.0,4600.0,88.0,629.0,NBFC | Gurugram +138 other locations
L&T Finance,11600.0,220.0,4500.0,0.0,259.0,NBFC | Mumbai +639 other locations
Mahindra Logistics,12900.0,253.0,4500.0,60.0,446.0,Logistics | Mumbai +234 other locations
Havells,14600.0,293.0,4500.0,24.0,315.0,Electrical Equipment | Noida +263 other locations
Dell,28900.0,425.0,4500.0,31.0,540.0,Consumer Electronics & Appliances | Bengaluru +118 other locations
Intas Pharmaceuticals,17200.0,262.0,4500.0,51.0,362.0,Pharma | Ahmedabad +150 other locations
R1 RCM,22000.0,359.0,4500.0,225.0,335.0,BPO | New Delhi +46 other locations
OPPO,11800.0,252.0,4500.0,3.0,602.0,Consumer Electronics & Appliances | Greater Noida +412 other locations
Tata AIA Life Insurance,14200.0,255.0,4400.0,751.0,298.0,Insurance | Mumbai +448 other locations
Hetero,15300.0,326.0,4400.0,60.0,332.0,Pharma | Hyderabad +70 other locations
Deutsche Bank,36800.0,426.0,4400.0,615.0,399.0,Banking | Pune +42 other locations
Hyundai Motor India Limited,14200.0,326.0,4400.0,0.0,519.0,Automobile | Chennai +286 other locations
Berger Paints,10500.0,434.0,4400.0,113.0,273.0,Chemicals | Kolkata +361 other locations
Motilal Oswal Financial Services,12900.0,550.0,4400.0,43.0,167.0,Financial Services | Mumbai +170 other locations
TeamLease Services,16200.0,253.0,4300.0,2.0,215.0,Recruitment | Bengaluru +401 other locations
Lenskart,13000.0,453.0,4300.0,186.0,199.0,Internet | New Delhi +244 other locations
VE Commercial Vehicles,14100.0,289.0,4300.0,2.0,340.0,Automobile | Indore +181 other locations
Thermax Limited,13200.0,344.0,4200.0,65.0,371.0,Industrial Machinery | Pune +255 other locations
Macleods Pharmaceuticals,15600.0,270.0,4200.0,10.0,334.0,Pharma | Mumbai +135 other locations
Bajaj Auto,14600.0,327.0,4200.0,0.0,496.0,Automobile | Pune +321 other locations
Jubilant Foods Works,9500.0,254.0,4200.0,260.0,180.0,Hospitality | New Delhi +262 other locations
Aakash Educational Services,13700.0,374.0,4200.0,103.0,212.0,Education & Training | New Delhi +248 other locations
Kogta Financial India Limited,1900.0,251.0,4100.0,138.0,31.0,NBFC | Jaipur +261 other locations
LG Electronics,11200.0,262.0,4100.0,0.0,399.0,Consumer Electronics & Appliances | Pune +300 other locations
Hindalco Industries,12800.0,307.0,4100.0,12.0,327.0,Metals & Mining | Sambalpur +129 other locations
Jindal Steel Limited,15800.0,421.0,4100.0,49.0,328.0,Iron & Steel | Angul +175 other locations
Royal Enfield,14900.0,203.0,4100.0,15.0,396.0,Automobile | Chennai +377 other locations
State Street Corporation,32400.0,292.0,4100.0,6.0,262.0,Financial Services | Bengaluru +35 other locations
DCB Bank,9700.0,231.0,4000.0,23.0,248.0,Banking | Mumbai +346 other locations
HDFC Ergo General Insurance,12100.0,201.0,4000.0,317.0,273.0,Insurance | Mumbai +328 other locations
Tata Communications,23500.0,302.0,4000.0,282.0,426.0,Telecom | Pune +102 other locations
John Deere,15300.0,268.0,4000.0,3.0,417.0,Industrial Machinery | Pune +154 other locations
RBL Bank,18500.0,241.0,4000.0,33.0,221.0,Banking | Mumbai +289 other locations
Cummins,15600.0,289.0,3900.0,100.0,458.0,Industrial Machinery | Pune +116 other locations
Publicis Sapient,31400.0,698.0,3900.0,211.0,391.0,IT Services & Consulting | Bengaluru +46 other locations
Bank of America,29000.0,294.0,3900.0,0.0,414.0,Banking | Gurugram +35 other locations
Alembic Pharmaceuticals,15400.0,255.0,3900.0,70.0,378.0,Pharma | Vadodara +188 other locations
Pidilite Industries,11600.0,258.0,3900.0,19.0,360.0,Chemicals | Mumbai +320 other locations
Oyo Rooms,14300.0,258.0,3900.0,166.0,389.0,Internet | Gurugram +121 other locations
American Express,25200.0,429.0,3800.0,171.0,435.0,Financial Services | Gurugram +55 other locations
Subros,12600.0,218.0,3800.0,1.0,379.0,Auto Components | Noida +89 other locations
Grasim Industries,12800.0,280.0,3800.0,6.0,267.0,Building Material | Bharuch +249 other locations
Aditya Birla Sun Life Insurance,10000.0,183.0,3800.0,1.0,214.0,Insurance | Mumbai +494 other locations
Kyndryl,26600.0,229.0,3800.0,4.0,163.0,IT Services & Consulting | Bengaluru +38 other locations
Reliance Communications,9400.0,106.0,3800.0,0.0,375.0,Telecom | Mumbai +468 other locations
Carelon Global Solutions,28500.0,423.0,4200.0,58.0,7.0,IT Services & Consulting | Bengaluru +21 other locations
Altruist Technologies,8300.0,720.0,3800.0,5.0,83.0,BPO | Bengaluru +43 other locations
XpressBees,8200.0,443.0,3800.0,13.0,176.0,Logistics | Pune +479 other locations
ADP Private Limited,22200.0,292.0,3800.0,67.0,457.0,Software Product | Hyderabad +41 other locations
PNB MetLife,8000.0,196.0,3800.0,16.0,217.0,Insurance | New Delhi +425 other locations
Aditya Birla Capital,14100.0,261.0,3800.0,3.0,212.0,NBFC | Mumbai +344 other locations
Viatris,14100.0,165.0,3800.0,4.0,500.0,Pharma | Hyderabad +80 other locations
PVR INOX,9400.0,216.0,3800.0,22.0,242.0,Media & Entertainment | New Delhi +149 other locations
Escorts Kubota Limited,13400.0,300.0,3800.0,3.0,255.0,Automobile | Faridabad +158 other locations
Maersk,19100.0,250.0,3700.0,42.0,421.0,Logistics | Chennai +49 other locations
Cloudnine Hospital,3000.0,1200.0,3700.0,18.0,78.0,Healthcare | Bengaluru +46 other locations
KPIT Technologies,23300.0,347.0,3700.0,48.0,290.0,Software Product | Pune +43 other locations
Synechron,28300.0,407.0,3700.0,182.0,239.0,IT Services & Consulting | Pune +33 other locations
Birlasoft,29900.0,316.0,3700.0,549.0,235.0,IT Services & Consulting | Pune +50 other locations
JK Cement,10000.0,342.0,3700.0,2.0,257.0,Building Material | New Delhi +333 other locations
Glenmark Pharmaceuticals,12400.0,182.0,3700.0,34.0,317.0,Pharma | Mumbai +187 other locations
Dabur,8900.0,332.0,3700.0,15.0,276.0,FMCG | New Delhi +321 other locations
Sodexo,9900.0,204.0,3700.0,926.0,364.0,Facility Management Services | Mumbai +160 other locations
Bharat Electronics,12600.0,246.0,3600.0,1.0,312.0,Electronics Manufacturing | Bengaluru +87 other locations
Kotak Mahindra Life Insurance Company,12500.0,262.0,3600.0,156.0,256.0,Insurance | Mumbai +257 other locations
Godrej & Boyce Manufacturing,15100.0,230.0,3600.0,47.0,412.0,Consumer Electronics & Appliances | Mumbai +169 other locations
Cogent E Services,10300.0,295.0,3600.0,2.0,220.0,BPO | Noida +56 other locations
Samvardhana Motherson Group,12100.0,259.0,3600.0,19.0,404.0,Auto Components | Noida +94 other locations
Abbott,12000.0,184.0,3600.0,193.0,361.0,Pharma | Mumbai +214 other locations
Ipca Laboratories,11500.0,210.0,3600.0,47.0,245.0,Pharma | Mumbai +161 other locations
Aarti Industries,14400.0,332.0,3600.0,42.0,351.0,Agro Chemicals | Bharuch +58 other locations
PhonePe,13300.0,422.0,3600.0,88.0,183.0,FinTech | Bengaluru +399 other locations
Reliance Projects & Property Management Services,7300.0,213.0,3500.0,0.0,20.0,Other | Kolkata +622 other locations
Indian Oil Corporation,7800.0,240.0,3500.0,0.0,291.0,Oil & Gas | New Delhi +313 other locations
Reliance Digital,7900.0,170.0,3500.0,1.0,241.0,Retail | Mumbai +379 other locations
MRF Tyres,12800.0,376.0,3500.0,18.0,345.0,Auto Components | Chennai +194 other locations
UNO Minda,11400.0,260.0,3500.0,9.0,279.0,Auto Components | Pune +110 other locations
IGT Solutions,13600.0,256.0,3500.0,112.0,213.0,BPO | New Delhi +47 other locations
Alkem Laboratories,9800.0,198.0,3500.0,19.0,328.0,Pharma | Mumbai +200 other locations
Johnson Controls,17700.0,304.0,3500.0,3.0,266.0,Industrial Automation | Pune +58 other locations
"NTT DATA, Inc.",21200.0,154.0,3500.0,97.0,624.0,IT Services & Consulting | Bengaluru +36 other locations
Honda Motorcycle & Scooter,11100.0,205.0,3500.0,1.0,348.0,Automobile | Gurugram +301 other locations
Blinkit,13100.0,346.0,3500.0,2.0,203.0,Internet | Gurugram +150 other locations
ArcelorMittal Nippon Steel,12000.0,276.0,3500.0,6.0,111.0,Iron & Steel | Surat +86 other locations
[24]7.ai,11700.0,188.0,3400.0,92.0,406.0,Software Product | Bengaluru +36 other locations
Vishal Mega Mart,6200.0,213.0,3400.0,6.0,273.0,Retail | New Delhi +377 other locations
Hindustan Coca Cola Beverages,7800.0,180.0,3400.0,53.0,377.0,Beverage | Bengaluru +263 other locations
UBS,31800.0,374.0,3400.0,1.0,118.0,Financial Services | Pune +19 other locations
IndusInd Nippon Life Insurance,4700.0,172.0,3400.0,1.0,229.0,Mumbai +490 other locations
DTDC Express,8600.0,195.0,3400.0,31.0,263.0,Logistics | New Delhi +272 other locations
ABB,18100.0,294.0,3400.0,3100.0,346.0,Industrial Machinery | Bengaluru +109 other locations
Bajaj General Insurance Limited,10700.0,141.0,3400.0,275.0,236.0,Insurance | Pune +304 other locations
Ford Motor,15300.0,176.0,3400.0,3.0,398.0,Automobile | Chennai +131 other locations
Barclays,32400.0,318.0,3300.0,0.0,253.0,Banking | Pune +35 other locations
Ceat Tyres,13000.0,212.0,3300.0,13.0,346.0,Auto Components | Nagpur +142 other locations
RSPL Group,9600.0,259.0,3300.0,17.0,293.0,FMCG | Kanpur +256 other locations
TVS Credit Services Ltd,7200.0,158.0,3300.0,33.0,194.0,NBFC | Chennai +438 other locations
AGS Health,14500.0,214.0,3300.0,50.0,272.0,Analytics & KPO | Chennai +64 other locations
NatWest Group,21200.0,234.0,3300.0,54.0,363.0,Banking | Gurugram +28 other locations
HARMAN,24200.0,293.0,3300.0,111.0,100.0,Consumer Electronics & Appliances | Bengaluru +42 other locations
Croma,9200.0,186.0,3300.0,15.0,186.0,Retail | Mumbai +192 other locations
InterGlobe Aviation,13400.0,373.0,3300.0,51.0,315.0,Aviation | New Delhi +105 other locations
Conduent,16900.0,234.0,3300.0,330.0,366.0,BPO | Bengaluru +34 other locations
Alstom Transportation,15100.0,279.0,3200.0,200.0,174.0,Engineering & Construction | Bengaluru +80 other locations
Niva Bupa Health Insurance Company,8400.0,378.0,3200.0,46.0,119.0,Insurance | New Delhi +321 other locations
Indian Air Force,5400.0,83.0,3200.0,0.0,354.0,Defence & Aerospace | New Delhi +134 other locations
Tata Technologies,22900.0,308.0,3200.0,105.0,308.0,Engineering & Construction | Pune +58 other locations
GeBBS Healthcare Solutions,11300.0,185.0,3200.0,82.0,291.0,BPO | Mumbai +24 other locations
Tata AIG,11400.0,193.0,3200.0,73.0,245.0,Insurance | Mumbai +260 other locations
Allcargo Logistics,7100.0,138.0,3200.0,32.0,335.0,Logistics | Mumbai +175 other locations
UPL,11100.0,219.0,3200.0,49.0,292.0,Agro Chemicals | Ankleshwar +185 other locations
Marpu Foundation,60.0,265.0,3100.0,0.0,8.0,Non-Profit | Hyderabad +61 other locations
Max Healthcare,10500.0,188.0,3100.0,135.0,276.0,Healthcare | New Delhi +78 other locations
Amazon Transportation Services,8500.0,256.0,3100.0,0.0,246.0,Logistics | Hyderabad +226 other locations
PepsiCo,13700.0,238.0,3100.0,236.0,244.0,Food Processing | Hyderabad +280 other locations
Dilip Buildcon,8100.0,188.0,3100.0,21.0,298.0,Engineering & Construction | Bhopal +229 other locations
Titan Company,9700.0,203.0,3100.0,109.0,332.0,Retail | Bengaluru +185 other locations
Walmart,23000.0,440.0,3100.0,218.0,320.0,Retail | Bengaluru +91 other locations
Mankind Pharma,9500.0,256.0,3100.0,8.0,247.0,Pharma | New Delhi +247 other locations
Jindal Stainless,11600.0,317.0,3100.0,83.0,186.0,Iron & Steel | Jajpur +78 other locations
Varroc Group,9500.0,221.0,3100.0,38.0,230.0,Auto Components | Pune +62 other locations
S&P Global,20600.0,331.0,3100.0,600.0,212.0,Analytics & KPO | Hyderabad +47 other locations
