company,salaries,interviews,review,jobs,benefits,location
Hindustan Petroleum,6000.0,118.0,1800.0,0.0,136.0,Oil & Gas | Mumbai +256 other locations
Digit Insurance,5900.0,232.0,1800.0,48.0,101.0,Insurance | Bengaluru +88 other locations
SS&C TECHNOLOGIES,13300.0,198.0,1800.0,78.0,197.0,IT Services & Consulting | Mumbai +30 other locations
Kalyan Jewellers,1500.0,80.0,1800.0,46.0,57.0,Jewellery | Thrissur +158 other locations
Tata Communications Transformation Services,8400.0,101.0,1700.0,0.0,170.0,Telecom | Pune +95 other locations
Air India,7800.0,215.0,1700.0,33.0,159.0,Aviation | New Delhi +68 other locations
Reckitt Benckiser,6200.0,106.0,1700.0,58.0,174.0,FMCG | Gurugram +135 other locations
USHA International,4800.0,115.0,1700.0,12.0,162.0,Consumer Electronics & Appliances | Gurugram +149 other locations
Security and Intelligence Services (India),4500.0,81.0,1700.0,33.0,134.0,Law Enforcement & Security | New Delhi +196 other locations
Isgec Heavy Engineering,6900.0,146.0,1700.0,54.0,133.0,Engineering & Construction | Noida +92 other locations
LivSpace,8100.0,169.0,1700.0,107.0,93.0,Architecture & Interior Design | Bengaluru +53 other locations
Future Retail,3900.0,57.0,1700.0,0.0,249.0,Retail | Mumbai +197 other locations
USV,5700.0,87.0,1700.0,86.0,171.0,Pharma | Mumbai +108 other locations
Dhani Loans and Services,4100.0,70.0,1700.0,22.0,41.0,NBFC | Gurugram +186 other locations
Vedantu,8200.0,201.0,1700.0,34.0,159.0,EdTech | Bengaluru +72 other locations
HDFC Securities,6100.0,127.0,1700.0,28.0,137.0,Financial Services | Mumbai +186 other locations
BT Business,9100.0,90.0,1700.0,5.0,260.0,Telecom | Gurugram +12 other locations
Pine Labs,7500.0,135.0,1700.0,18.0,116.0,FinTech | Noida +119 other locations
Adani Green Energy,5900.0,155.0,1700.0,0.0,79.0,Power | Ahmedabad +114 other locations
Annapurna Finance,3800.0,84.0,1700.0,0.0,126.0,NBFC | Bhubaneswar +397 other locations
XBP Global,7700.0,102.0,1700.0,82.0,75.0,Internet | Chennai +23 other locations
Bata,4400.0,86.0,1700.0,9.0,118.0,Fashion & Textile | Gurugram +149 other locations
BVG India,3900.0,167.0,1700.0,59.0,99.0,Facility Management Services | Pune +136 other locations
Mother Dairy Fruit & Vegetable,5100.0,102.0,1700.0,0.0,151.0,Food Processing | New Delhi +128 other locations
Metro Cash & Carry,4800.0,77.0,1700.0,0.0,167.0,Retail | Bengaluru +88 other locations
Rungta Mines,5500.0,184.0,1700.0,0.0,58.0,Metals & Mining | Chaibasa +57 other locations
Granules India Limited,6300.0,84.0,1700.0,12.0,159.0,Pharma | Hyderabad +22 other locations
Indian Navy,3400.0,37.0,1700.0,0.0,244.0,Defence & Aerospace | Mumbai +75 other locations
Provana,4100.0,175.0,1700.0,35.0,250.0,BPO | Noida +11 other locations
NEC,5500.0,79.0,1700.0,3.0,78.0,IT Services & Consulting | Noida +54 other locations
Sysnet Global Technologies,4300.0,142.0,1700.0,11.0,83.0,IT Services & Consulting | New Delhi +154 other locations
Orange Business,9000.0,117.0,1700.0,25.0,237.0,IT Services & Consulting | Gurugram +52 other locations
Medanta the Medicity,5100.0,130.0,1700.0,72.0,147.0,Healthcare | Gurugram +50 other locations
Orchids International School,3800.0,344.0,1700.0,20.0,53.0,Education & Training | Bengaluru +33 other locations
Cavinkare,4800.0,71.0,1700.0,5.0,142.0,FMCG | Chennai +172 other locations
Hitachi Astemo,6300.0,135.0,1700.0,0.0,119.0,Auto Components | Neemrana +52 other locations
HighRadius,8800.0,208.0,1700.0,48.0,82.0,Software Product | Hyderabad +15 other locations
FactSet,10600.0,232.0,1700.0,18.0,185.0,Analytics & KPO | Hyderabad +16 other locations
Frankfinn Institute of Air Hostess Training,3200.0,127.0,1700.0,113.0,170.0,Education & Training | Gurugram +60 other locations
TTEC India,5400.0,192.0,1700.0,20.0,152.0,BPO | Ahmedabad +35 other locations
Caterpillar Inc,10800.0,208.0,1700.0,203.0,134.0,Industrial Machinery | Chennai +43 other locations
Cushman & Wakefield,6400.0,118.0,1700.0,212.0,129.0,Real Estate | Gurugram +44 other locations
KONE,5700.0,140.0,1700.0,69.0,191.0,Industrial Machinery | Chennai +73 other locations
Yamaha Motor,5200.0,88.0,1600.0,9.0,177.0,Automobile | Chennai +155 other locations
Rane (Madras),4900.0,94.0,1600.0,43.0,162.0,Auto Components | Chennai +58 other locations
MagicBricks,4500.0,349.0,1600.0,33.0,72.0,Internet | Noida +35 other locations
DHL Express,6100.0,78.0,1600.0,0.0,170.0,Logistics | Mumbai +90 other locations
BA Continuum,10100.0,112.0,1600.0,0.0,289.0,IT Services & Consulting | Hyderabad +19 other locations
JSW Bhushan Power & Steel,4900.0,80.0,1600.0,0.0,176.0,Iron & Steel | Jharsuguda +65 other locations
L.G.Balakrishnan & Bros,5700.0,83.0,1600.0,5.0,119.0,Auto Components | Coimbatore +61 other locations
Procter & Gamble,5800.0,133.0,1600.0,0.0,166.0,FMCG | Mumbai +253 other locations
Wipro Enterprises Ltd,8100.0,204.0,1600.0,114.0,434.0,FMCG | Bengaluru +122 other locations
Compass Group Support Services,5400.0,88.0,1600.0,40.0,141.0,Facility Management Services | Bengaluru +77 other locations
Johnson & Johnson,5800.0,116.0,1600.0,11.0,186.0,Healthcare | Mumbai +171 other locations
Matrimony.com,4400.0,102.0,1600.0,45.0,66.0,Internet | Chennai +64 other locations
Vardhman Fabrics,5300.0,80.0,1600.0,6.0,147.0,Fashion & Textile | Baddi +64 other locations
American Broadcasting Company,34500.0,595.0,1600.0,4.0,9.0,Engineering & Construction | Bengaluru +103 other locations
Patanjali Foods,4500.0,101.0,1600.0,14.0,108.0,FMCG | Haridwar +234 other locations
Tata Play,4600.0,90.0,1600.0,1.0,181.0,Broadcasting | Mumbai +222 other locations
CG Power and Industrial Solutions,6600.0,107.0,1600.0,3.0,213.0,Electrical Equipment | Bhopal +91 other locations
Clover Infotech,11700.0,140.0,1600.0,127.0,95.0,IT Services & Consulting | Mumbai +22 other locations
Belrise Industries,6100.0,106.0,1600.0,14.0,97.0,Auto Components | Pune +58 other locations
Chegg,3900.0,167.0,1600.0,8.0,87.0,EdTech | New Delhi +78 other locations
Hero Motors Company,6100.0,98.0,1600.0,2.0,120.0,Automobile | Ghaziabad +230 other locations
Arvind Group,5300.0,81.0,1600.0,0.0,296.0,Fashion & Textile | Ahmedabad +91 other locations
NielsenIQ,9900.0,230.0,1600.0,42.0,57.0,Analytics & KPO | Chennai +54 other locations
Suryoday Small Finance Bank,4600.0,97.0,1600.0,14.0,86.0,Banking | Mumbai +232 other locations
Health Care Global Enterprises,2800.0,164.0,1600.0,84.0,26.0,Healthcare | Bengaluru +53 other locations
CMA CGM,8100.0,101.0,1600.0,17.0,211.0,Ports & Shipping | Chennai +37 other locations
Krishna Maruti,5100.0,130.0,1600.0,7.0,119.0,Auto Components | Gurugram +51 other locations
Tata 1mg,6900.0,219.0,1600.0,81.0,100.0,Internet | Gurugram +62 other locations
ReNew,6300.0,138.0,1600.0,47.0,96.0,Power | Gurugram +105 other locations
HERE Technologies,7700.0,112.0,1600.0,11.0,284.0,IT Services & Consulting | Mumbai +19 other locations
Toyota Kirloskar Motor,4500.0,79.0,1600.0,0.0,164.0,Automobile | Bengaluru +91 other locations
Coronis Ajuba Solutions,5700.0,93.0,1600.0,24.0,140.0,BPO | Chennai +31 other locations
Marico,5600.0,102.0,1600.0,18.0,162.0,FMCG | Mumbai +183 other locations
Godrej Industries Group,3000.0,151.0,1600.0,1.0,155.0,Real Estate | Mumbai +149 other locations
IIFL SAMASTA,3200.0,83.0,1700.0,2.0,19.0,NBFC | Bengaluru +397 other locations
PharmEasy,6500.0,118.0,1600.0,0.0,153.0,Internet | Bengaluru +70 other locations
Welspun Living Limited,5100.0,90.0,1600.0,1.0,150.0,Fashion & Textile | Anjar +86 other locations
Dixon Technologies,5700.0,145.0,1600.0,28.0,116.0,Electronics Manufacturing | Noida +46 other locations
Satin Creditcare Network,3100.0,64.0,1600.0,8.0,129.0,NBFC | Gurugram +328 other locations
Goldman Sachs,20200.0,413.0,1600.0,357.0,100.0,Financial Services | Bengaluru +23 other locations
Shriram Life Insurance,4800.0,110.0,1600.0,26.0,81.0,Insurance | Hyderabad +326 other locations
Wockhardt,4100.0,66.0,1600.0,11.0,178.0,Pharma | Chhatrapati Sambhajinagar +84 other locations
Emami,5200.0,104.0,1600.0,4.0,131.0,FMCG | Kolkata +173 other locations
Teva Pharmaceuticals,5600.0,120.0,1600.0,18.0,183.0,Pharma | Bengaluru +52 other locations
Honda,3900.0,114.0,1600.0,4.0,206.0,Automobile | Gurugram +228 other locations
ZF Commercial Vehicle Control Systems,3800.0,81.0,1600.0,0.0,6.0,Auto Components | Chennai +48 other locations
Veritas Finance,2100.0,88.0,1600.0,0.0,36.0,NBFC | Chennai +297 other locations
iOPEX Technologies,5900.0,88.0,1600.0,42.0,530.0,IT Services & Consulting | Chennai +16 other locations
Supreme Industries,5700.0,97.0,1600.0,0.0,113.0,Petrochemicals | Gwalior +124 other locations
Mercer,9800.0,97.0,1500.0,231.0,205.0,Management Consulting | New Delhi +17 other locations
KFC,3000.0,86.0,1500.0,0.0,153.0,Hospitality | New Delhi +173 other locations
Sanofi,5700.0,98.0,1500.0,181.0,163.0,Pharma | Hyderabad +92 other locations
Urban Company,6700.0,170.0,1500.0,98.0,96.0,Internet | Gurugram +59 other locations
Asahi India Glass,5200.0,111.0,1500.0,49.0,129.0,Auto Components | Chennai +88 other locations
Relaxo Footwear,4500.0,109.0,1500.0,32.0,143.0,Fashion & Textile | New Delhi +159 other locations
